Entity,Emissions per kilogram,Land use per kilogram,Eutrophication per kilogram,Water scarcity per kilogram,Water withdrawals per kilogram
Ale,0.488689869,0.811485184,1.633119747,1891.14853,49.402841640625
Almond butter,0.3870113076923077,7.683045153846154,18.723074738461538,402211.9607692308,6846.472596923078
Almond milk,0.6558875395161291,1.3701058564516129,4.1488755943548385,99916.41729459677,1246.9737829725807
Almonds,0.6023678597222223,8.230926805555555,18.59575452361111,372799.1010631944,6413.314596694445
Apple juice,0.45837839999999996,0.66062946,1.9116574100000001,3286.829617,122.3183402
Apple pie,1.2449736986040187,1.7651649809258605,6.619579523850231,8193.821802142626,396.3874492328507
Apples,0.5073538973544973,0.6689985968253969,1.2055796386243385,2469.089299153439,90.3342268005291
Apricot jam,1.3821050899999998,1.368510216666667,11.446766741666668,24526.64768666667,851.0487645500001
Asparagus,0.9256918166666667,1.4017694694444445,4.001619922222222,25692.92859972222,310.51426297222224
Avocados,0.921227093548387,1.2489312903225807,2.671237738709677,32696.893522580645,367.41429932258063
Bacon,19.314209012302378,42.33222878321777,87.74693880857234,56859.519503844305,1649.7112903475854
Bagels,0.8028126,2.26294722,6.05480783,7919.100246,291.3505735
Baguette,0.9956444215686275,2.1990874039215687,8.172196696078432,9360.781796862744,345.30773029215686
Banana loaf,1.8687873555555556,3.2725560444444444,9.283215377777779,8368.774116666667,444.2256801111111
Bananas,0.8733495729166667,2.639823669,3.459988988,331.91074433333335,52.050779345833334
Beans,1.3733080129032258,17.068111412903228,10.768394025806451,0.6938741096774194,0.08371493548387096
Beef burger,53.97637075589627,135.34711651402569,553.3784039139914,74017.89145289209,3492.0811416001734
Beef curry,17.36872478560908,35.401983177499034,252.92385493801277,40380.566976034235,1800.8988631225166
Beef meatballs,70.78747415036258,214.9953975422251,355.43232820236244,51943.57774983061,2227.9892438702245
Beef mince,95.0345722731625,295.25354433350543,428.6949991828496,56773.19692243626,2493.946114362598
Beef noodles,2.290114275,4.0816445,14.948793250000001,12893.176954999999,363.200418
Beef steak,129.74771482600087,427.33112598330507,360.72879492925955,48932.71274894278,1954.3529841239406
Beer,0.6862832217391304,0.827887302173913,2.821157540217391,2643.6401333565213,122.41636800217393
Beetroot,2.6582406426355467,4.093929838632002,8.856975535143322,292.20701918526606,11.212597088011481
Biscuits,3.989250537349398,7.879322971084337,14.221803943373493,8143.742320843374,481.1757315903614
Blue cheese,20.10575331,23.8921457,67.50139258,39276.251266875,1895.349021
Brazil nuts,2.513051435714286,12.810535014285714,19.62164854285714,145555.7416642857,3270.798559285714
Bread,0.8787608464606183,2.2412011,6.022548687936191,7726.0167181633105,241.91359511754735
Breakfast cereal,1.4934272760956175,2.895190374501992,9.509492901992031,12400.22195037968,502.1027319211156
Brie,19.139581434146343,22.454388370731706,64.27110320243902,36540.89867902439,1765.5485732682928
Broccoli,0.8974015212121212,1.003502265151515,5.100618483333333,15385.286315757576,224.90420093939395
Butter,3.3245031830065357,3.6197967470588237,10.512020058823527,6142.515251764706,271.5578883601307
Cabbage,0.8902840710144927,0.8027023246376812,6.198975268115942,4601.958170434783,131.3118252753623
Caesar salad,2.0791893426509587,2.7510760230856173,7.299736039928152,10911.911533060991,305.7663358366555
Camembert,16.2814304627907,19.044357379069766,55.35831801627907,31867.99088069767,1529.7198416744186
Carrot cake,2.0107220066666667,2.7843686,9.993259126666667,9749.652841333334,516.9922559333334
Carrots,0.935163376,1.601823487,5.891146026,771.3227740399999,14.92984817
Cashew nuts,2.087644250617284,11.720881622222223,19.293233460493827,163311.31540802467,3504.3436417283947
Cauliflower,0.8917262454545455,0.788343706060606,5.936602212121212,5347.111227272727,136.93994
Cereal bars,2.8533841636861315,5.560588325729928,13.805816670985402,27611.289422481754,843.372939739051
Cheddar cheese,20.749044536746986,24.451037122891567,70.27357376686749,40220.710785301206,1939.9132574939758
Cheesecake,2.3693018444444442,2.5869831999999997,10.019227033333333,9076.589122222224,460.784719
Cherry tomatoes,2.26636,0.930353076923077,6.075514615384615,7488.009862307694,318.56528153846165
Chia seeds,1.2205535,3.4277066,5.994779433333334,7534.34843,210.90354533333334
Chicken breast,9.272323308164042,9.220958918499807,37.36047302660441,13741.15923364835,563.9170655206422
Chicken burger,5.434486845554163,6.053407499572316,22.52574303071907,9788.142590023816,379.126194083144
Chicken curry,3.6165459862087963,3.9776682906010166,17.291542631529442,11147.176674665792,436.1916329416942
Chicken noodles,2.383995704574977,3.3128930338534426,11.324383145388806,11734.065707382006,413.2280333568973
Chicken pasta,2.946764556691817,3.575445120352258,12.371862595624613,10478.902281829205,309.9990519096519
Chicken sausages,8.164302485896087,8.330555240951941,34.34878473681311,11978.280659897118,483.11358608255597
Chicken thighs,9.98188130190233,9.851753858004281,39.868212807611265,14026.462965891438,577.2318275568115
Chicken wings,9.583456219515725,9.506969856553159,39.0156261054794,15450.919568777052,631.833950726057
